trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.4, 'e': 0.9999999}",30,14,-21.573805545114457,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-60.937237617937846,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-87.56114757122324,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-184.88117995753652,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-165.0012330074403,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-164.97741750536147,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
46,False,"{'a': 0.4, 'e': 0.9999999}",35,0,-182.15683449066015,"{0: 17, 1: 2, 2: 15, 3: 0, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-119.99940132887286,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-230.61368438087595,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
49,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-47.64161766412725,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-150.58773391453448,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
51,False,"{'a': 0.4, 'e': 0.9999999}",25,9,-98.65060631355712,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 1}",1
52,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-125.06199873527542,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
53,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-159.35246276723703,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.4, 'e': 0.9999999}",30,7,-78.47564518214655,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-79.30057419950103,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-140.4541612516276,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-226.24391346020667,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
58,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-94.22152246318791,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-46.67749867373645,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-91.55111081357514,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
61,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-67.02149759885165,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-102.28398211442403,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-194.86766741236906,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
64,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-98.0573096278715,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-136.71823985903532,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
66,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-177.24521740540885,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
67,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-187.4704667040623,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
68,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-101.44403797318867,"{0: 12, 1: 8, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.9999999}",25,2,-94.93054635700295,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
70,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-80.46356863821389,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-166.95915898001738,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
72,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-240.41698586952296,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
73,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-160.1512371901824,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
74,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-100.02679783595457,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
75,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-78.6282971102562,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-174.93661989219038,"{0: 15, 1: 3, 2: 1, 3: 4, 4: 2}",0
77,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-180.55706339528538,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
78,False,"{'a': 0.4, 'e': 0.9999999}",35,0,-221.29080736442017,"{0: 21, 1: 5, 2: 3, 3: 3, 4: 3}",0
79,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-132.19121773076932,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
80,False,"{'a': 0.4, 'e': 0.9999999}",20,10,-102.81135800491653,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 2}",1
81,False,"{'a': 0.4, 'e': 0.9999999}",25,2,-99.22758774967947,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 1}",1
